x, y, z, yaw
50.4127,-35.7741,-15.7171,-2.0526
50.369,-35.8595,-15.7171,-2.05298
50.3267,-35.9382,-15.7171,-2.05336
50.2901,-36.0087,-15.7171,-2.05375
50.2485,-36.0867,-15.7171,-2.05394
50.2077,-36.1639,-15.7171,-2.05413
50.1669,-36.2411,-15.7171,-2.05451
50.1269,-36.3176,-15.7171,-2.05471
50.0877,-36.3933,-15.7171,-2.05509
50.0486,-36.4675,-15.7171,-2.05528
49.7544,-37.0246,-15.7171,-2.05682
49.7204,-37.0898,-15.7171,-2.05682
49.69,-37.1475,-15.7171,-2.05701
49.6512,-37.2188,-15.7171,-2.05701
49.6208,-37.2765,-15.7171,-2.0572
49.5834,-37.3477,-15.7171,-2.0572
49.5495,-37.4129,-15.7171,-2.05739
49.5149,-37.4774,-15.7171,-2.05758
49.4801,-37.5434,-15.7171,-2.05777
49.4489,-37.6019,-15.7171,-2.05797
49.4099,-37.6761,-15.7171,-2.05816
49.3742,-37.7443,-15.7171,-2.05835
49.3371,-37.8126,-15.7171,-2.05854
49.3006,-37.8816,-15.7171,-2.05854
48.9987,-38.4515,-15.7171,-2.05988
48.9591,-38.5236,-15.7171,-2.06007
48.9208,-38.597,-15.7171,-2.06007
48.8854,-38.6623,-15.7171,-2.06027
48.8471,-38.7358,-15.7171,-2.06046
48.804,-38.8153,-15.7171,-2.06065
48.77,-38.8805,-15.7171,-2.06084
48.7276,-38.9593,-15.7171,-2.06084
48.6896,-39.0298,-15.7171,-2.06103
48.6522,-39.101,-15.7171,-2.06123
48.6143,-39.1701,-15.7171,-2.06123
48.5788,-39.2369,-15.7171,-2.06142
48.545,-39.3006,-15.7171,-2.06161
48.5119,-39.3636,-15.7171,-2.06199
48.2773,-39.8024,-15.7171,-2.06621
48.2573,-39.8406,-15.7171,-2.06736
48.2381,-39.8781,-15.717,-2.0687
48.2207,-39.911,-15.717,-2.07005
48.2008,-39.9478,-15.717,-2.07196
48.1824,-39.9845,-15.717,-2.07446
48.1641,-40.0197,-15.717,-2.07695
48.1451,-40.0557,-15.717,-2.07944
48.1249,-40.0954,-15.717,-2.08308
48.1076,-40.1284,-15.717,-2.08634
48.0866,-40.1688,-15.717,-2.09095
48.0666,-40.2071,-15.717,-2.09574
48.0466,-40.2453,-15.717,-2.10092
47.8219,-40.653,-15.717,-2.17052
47.7914,-40.7042,-15.717,-2.18087
47.7608,-40.7555,-15.717,-2.19161
47.7279,-40.809,-15.717,-2.20254
47.6894,-40.868,-15.717,-2.215
47.6542,-40.9224,-15.717,-2.2267
47.6208,-40.9723,-15.717,-2.23724
47.5777,-41.0345,-15.717,-2.25067
47.5413,-41.0861,-15.717,-2.26198
47.4992,-41.1445,-15.717,-2.27444
47.4508,-41.2092,-15.717,-2.28844
47.4042,-41.2694,-15.717,-2.30148
47.3576,-41.3296,-15.717,-2.31471
47.3081,-41.39,-15.717,-2.32794
46.8485,-41.8873,-15.7169,-2.44681
46.7836,-41.9494,-15.7169,-2.46292
46.7236,-42.0054,-15.7169,-2.47768
46.6473,-42.0732,-15.7169,-2.4959
46.5752,-42.1343,-15.7169,-2.51258
46.5009,-42.1963,-15.7169,-2.52984
46.4323,-42.2514,-15.7169,-2.54537
46.3459,-42.3185,-15.7169,-2.56454
46.2722,-42.3731,-15.7169,-2.58046
46.1886,-42.4335,-15.7169,-2.59867
46.0944,-42.4989,-15.7169,-2.61861
46.0143,-42.5518,-15.7169,-2.63491
45.9237,-42.6097,-15.7169,-2.65313
45.821,-42.6728,-15.7169,-2.67384
45.0107,-43.0778,-15.7168,-2.82876
44.8905,-43.1246,-15.7168,-2.85062
44.7817,-43.1656,-15.7168,-2.87018
44.6844,-43.1993,-15.7168,-2.88782
44.5657,-43.238,-15.7168,-2.9093
44.4555,-43.2696,-15.7168,-2.92885
44.3447,-43.3005,-15.7168,-2.94879
44.234,-43.33,-15.7167,-2.96931
44.1205,-43.3582,-15.7167,-2.98944
44.0028,-43.3838,-15.7167,-3.00958
43.8841,-43.4051,-15.7167,-3.02702
43.7707,-43.4239,-15.7167,-3.04601
43.6596,-43.4418,-15.7167,-3.07036
43.5472,-43.457,-15.7167,-3.09203
